"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [11,33]
Matrix Size : scalar
Type : Real"
-2.400,2.000,0.362
-2.400,3.000,0.395
-2.400,4.000,0.410
-2.400,5.000,0.418
-2.400,6.000,0.423
-2.400,7.000,0.426
-2.400,8.000,0.428
-2.400,9.000,0.430
-2.400,10.000,0.430
-2.400,11.000,0.431
-2.400,12.000,0.430
-2.400,13.000,0.430
-2.400,14.000,0.429
-2.400,15.000,0.428
-2.400,16.000,0.427
-2.400,17.000,0.426
-2.400,18.000,0.424
-2.400,19.000,0.423
-2.400,20.000,0.421
-2.400,21.000,0.420
-2.400,22.000,0.418
-2.400,23.000,0.416
-2.400,24.000,0.414
-2.400,25.000,0.412
-2.400,26.000,0.410
-2.400,27.000,0.408
-2.400,28.000,0.406
-2.400,29.000,0.404
-2.400,30.000,0.402
-2.400,31.000,0.400
-2.400,32.000,0.398
-2.300,0.000,1.419E-40
-2.300,1.000,0.317
-2.300,2.000,0.462
-2.300,3.000,0.498
-2.300,4.000,0.511
-2.300,5.000,0.518
-2.300,6.000,0.522
-2.300,7.000,0.523
-2.300,8.000,0.524
-2.300,9.000,0.524
-2.300,10.000,0.523
-2.300,11.000,0.522
-2.300,12.000,0.521
-2.300,13.000,0.519
-2.300,14.000,0.517
-2.300,15.000,0.514
-2.300,16.000,0.512
-2.300,17.000,0.510
-2.300,18.000,0.507
-2.300,19.000,0.504
-2.300,20.000,0.502
-2.300,21.000,0.499
-2.300,22.000,0.496
-2.300,23.000,0.493
-2.300,24.000,0.490
-2.300,25.000,0.487
-2.300,26.000,0.484
-2.300,27.000,0.481
-2.300,28.000,0.478
-2.300,29.000,0.476
-2.300,30.000,0.473
-2.300,31.000,0.470
-2.300,32.000,0.467
-2.200,0.000,1.395E-40
-2.200,1.000,0.396
-2.200,2.000,0.564
-2.200,3.000,0.602
-2.200,4.000,0.614
-2.200,5.000,0.619
-2.200,6.000,0.620
-2.200,7.000,0.620
-2.200,8.000,0.619
-2.200,9.000,0.617
-2.200,10.000,0.615
-2.200,11.000,0.612
-2.200,12.000,0.609
-2.200,13.000,0.605
-2.200,14.000,0.602
-2.200,15.000,0.598
-2.200,16.000,0.594
-2.200,17.000,0.591
-2.200,18.000,0.587
-2.200,19.000,0.583
-2.200,20.000,0.579
-2.200,21.000,0.575
-2.200,22.000,0.571
-2.200,23.000,0.567
-2.200,24.000,0.563
-2.200,25.000,0.559
-2.200,26.000,0.555
-2.200,27.000,0.551
-2.200,28.000,0.547
-2.200,29.000,0.543
-2.200,30.000,0.540
-2.200,31.000,0.536
-2.200,32.000,0.533
-2.100,0.000,1.416E-40
-2.100,1.000,0.472
-2.100,2.000,0.666
-2.100,3.000,0.706
-2.100,4.000,0.716
-2.100,5.000,0.718
-2.100,6.000,0.718
-2.100,7.000,0.715
-2.100,8.000,0.712
-2.100,9.000,0.708
-2.100,10.000,0.704
-2.100,11.000,0.699
-2.100,12.000,0.694
-2.100,13.000,0.689
-2.100,14.000,0.684
-2.100,15.000,0.679
-2.100,16.000,0.674
-2.100,17.000,0.669
-2.100,18.000,0.663
-2.100,19.000,0.658
-2.100,20.000,0.653
-2.100,21.000,0.647
-2.100,22.000,0.642
-2.100,23.000,0.637
-2.100,24.000,0.632
-2.100,25.000,0.627
-2.100,26.000,0.622
-2.100,27.000,0.617
-2.100,28.000,0.612
-2.100,29.000,0.608
-2.100,30.000,0.603
-2.100,31.000,0.599
-2.100,32.000,0.594
-2.000,0.000,1.391E-40
-2.000,1.000,0.544
-2.000,2.000,0.765
-2.000,3.000,0.809
-2.000,4.000,0.817
-2.000,5.000,0.817
-2.000,6.000,0.814
-2.000,7.000,0.809
-2.000,8.000,0.803
-2.000,9.000,0.797
-2.000,10.000,0.791
-2.000,11.000,0.784
-2.000,12.000,0.778
-2.000,13.000,0.771
-2.000,14.000,0.764
-2.000,15.000,0.757
-2.000,16.000,0.750
-2.000,17.000,0.743
-2.000,18.000,0.737
-2.000,19.000,0.730
-2.000,20.000,0.723
-2.000,21.000,0.717
-2.000,22.000,0.710
-2.000,23.000,0.704
-2.000,24.000,0.698
-2.000,25.000,0.692
-2.000,26.000,0.686
-2.000,27.000,0.680
-2.000,28.000,0.674
-2.000,29.000,0.668
-2.000,30.000,0.663
-2.000,31.000,0.657
-2.000,32.000,0.652
