"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [101,33]
Matrix Size : scalar
Type : Real"
-2.9600,30.0000,0.0229
-2.9600,31.0000,0.0231
-2.9600,32.0000,0.0233
-2.9500,0.0000,1.4226E-40
-2.9500,1.0000,1.0000E-12
-2.9500,2.0000,0.0018
-2.9500,3.0000,0.0048
-2.9500,4.0000,0.0074
-2.9500,5.0000,0.0095
-2.9500,6.0000,0.0113
-2.9500,7.0000,0.0128
-2.9500,8.0000,0.0142
-2.9500,9.0000,0.0154
-2.9500,10.0000,0.0165
-2.9500,11.0000,0.0175
-2.9500,12.0000,0.0184
-2.9500,13.0000,0.0193
-2.9500,14.0000,0.0200
-2.9500,15.0000,0.0207
-2.9500,16.0000,0.0214
-2.9500,17.0000,0.0220
-2.9500,18.0000,0.0225
-2.9500,19.0000,0.0230
-2.9500,20.0000,0.0235
-2.9500,21.0000,0.0239
-2.9500,22.0000,0.0243
-2.9500,23.0000,0.0246
-2.9500,24.0000,0.0249
-2.9500,25.0000,0.0252
-2.9500,26.0000,0.0255
-2.9500,27.0000,0.0258
-2.9500,28.0000,0.0260
-2.9500,29.0000,0.0262
-2.9500,30.0000,0.0264
-2.9500,31.0000,0.0266
-2.9500,32.0000,0.0267
-2.9400,0.0000,1.3997E-40
-2.9400,1.0000,1.0174E-12
-2.9400,2.0000,0.0025
-2.9400,3.0000,0.0063
-2.9400,4.0000,0.0093
-2.9400,5.0000,0.0117
-2.9400,6.0000,0.0137
-2.9400,7.0000,0.0154
-2.9400,8.0000,0.0169
-2.9400,9.0000,0.0182
-2.9400,10.0000,0.0194
-2.9400,11.0000,0.0205
-2.9400,12.0000,0.0215
-2.9400,13.0000,0.0224
-2.9400,14.0000,0.0233
-2.9400,15.0000,0.0240
-2.9400,16.0000,0.0247
-2.9400,17.0000,0.0254
-2.9400,18.0000,0.0260
-2.9400,19.0000,0.0265
-2.9400,20.0000,0.0270
-2.9400,21.0000,0.0274
-2.9400,22.0000,0.0278
-2.9400,23.0000,0.0282
-2.9400,24.0000,0.0285
-2.9400,25.0000,0.0289
-2.9400,26.0000,0.0291
-2.9400,27.0000,0.0294
-2.9400,28.0000,0.0296
-2.9400,29.0000,0.0299
-2.9400,30.0000,0.0301
-2.9400,31.0000,0.0303
-2.9400,32.0000,0.0304
-2.9300,0.0000,1.3996E-40
-2.9300,1.0000,3.9376E-6
-2.9300,2.0000,0.0035
-2.9300,3.0000,0.0080
-2.9300,4.0000,0.0114
-2.9300,5.0000,0.0141
-2.9300,6.0000,0.0163
-2.9300,7.0000,0.0182
