"freq
References : ['MAG','dB(S21)']
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real","MAG
References : []
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real","dB(S21)
References : []
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real"
1.000E8,16.232,-43.985
1.500E8,21.225,-35.720
2.000E8,23.760,-28.406
2.500E8,20.346,-20.322
3.000E8,10.810,-27.500
3.500E8,16.965,-26.308
4.000E8,22.854,-20.710
4.500E8,26.134,-15.430
5.000E8,28.123,-9.650
5.500E8,28.595,-1.612
6.000E8,26.948,15.639
6.500E8,25.482,0.673
7.000E8,24.190,-3.673
7.500E8,23.027,-5.795
8.000E8,21.959,-7.000
8.500E8,20.965,-7.706
9.000E8,20.029,-8.097
9.500E8,19.140,-8.267
1.000E9,18.292,-8.265
1.050E9,17.483,-8.118
1.100E9,16.717,-7.833
1.150E9,16.011,-7.407
1.200E9,15.399,-6.823
1.250E9,14.937,-6.073
1.300E9,14.701,-5.182
1.350E9,14.749,-4.250
1.400E9,15.069,-3.434
1.450E9,15.563,-2.814
1.500E9,16.086,-2.334
1.550E9,16.527,-1.882
1.600E9,16.834,-1.383
1.650E9,17.014,-0.803
1.700E9,17.096,-0.131
1.750E9,17.115,0.631
1.800E9,17.100,1.481
1.850E9,17.071,2.416
1.900E9,17.039,3.432
1.950E9,17.011,4.529
2.000E9,16.984,5.705
2.050E9,16.955,6.956
2.100E9,16.904,8.264
2.150E9,16.765,9.558
2.200E9,16.352,10.748
2.250E9,16.467,12.973
2.300E9,16.270,14.460
2.350E9,16.398,15.834
2.400E9,16.501,16.498
2.450E9,16.392,15.735
2.500E9,16.197,14.150
2.550E9,15.946,12.356
2.600E9,15.651,10.636
2.650E9,15.323,9.076
2.700E9,14.968,7.686
2.750E9,14.596,6.456
2.800E9,14.215,5.373
2.850E9,13.833,4.424
2.900E9,13.457,3.599
2.950E9,13.094,2.889
3.000E9,12.748,2.287
3.050E9,12.424,1.789
3.100E9,12.128,1.391
3.150E9,11.861,1.091
3.200E9,11.626,0.886
3.250E9,11.426,0.778
3.300E9,11.262,0.765
3.350E9,11.134,0.850
3.400E9,11.044,1.035
3.450E9,10.989,1.322
3.500E9,10.968,1.715
3.550E9,10.979,2.218
3.600E9,11.015,2.836
3.650E9,11.070,3.572
3.700E9,11.133,4.428
3.750E9,11.188,5.402
3.800E9,11.215,6.477
3.850E9,11.184,7.610
3.900E9,11.059,8.687
3.950E9,10.795,9.444
4.000E9,10.339,9.411
4.050E9,9.639,8.166
4.100E9,8.643,5.815
4.150E9,7.308,2.819
4.200E9,5.597,-0.482
4.250E9,3.471,-3.956
4.300E9,0.884,-7.597
4.350E9,-2.237,-11.476
4.400E9,-6.008,-15.731
4.450E9,-10.592,-20.556
4.500E9,-15.988,-25.981
4.550E9,-20.448,-30.294
4.600E9,-21.195,-30.745
4.650E9,-21.271,-30.403
4.700E9,-22.315,-30.934
4.750E9,-22.706,-30.736
4.800E9,-19.840,-27.226
4.850E9,-15.971,-22.676
4.900E9,-12.715,-18.725
4.950E9,-10.126,-15.452
5.000E9,-8.045,-12.729
5.050E9,-6.344,-10.467
5.100E9,-4.933,-8.615
5.150E9,-3.747,-7.145
5.200E9,-2.739,-6.024
5.250E9,-1.875,-5.206
5.300E9,-1.124,-4.631
5.350E9,-0.465,-4.230
5.400E9,0.123,-3.942
5.450E9,0.654,-3.714
5.500E9,1.140,-3.506
5.550E9,1.589,-3.288
5.600E9,2.004,-3.038
5.650E9,2.387,-2.741
5.700E9,2.731,-2.387
5.750E9,3.020,-1.971
5.800E9,3.226,-1.498
5.850E9,3.301,-0.992
5.900E9,3.158,-0.510
5.950E9,2.659,-0.195
6.000E9,1.589,-0.352
