"P_in
References : ['plot_vs(dBm(V_out),freq)']
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real","indep(index, 1)
References : ['plot_vs(dBm(V_out),freq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(dBm(V_out),freq)
References : []
Dependency : [P_in,]
Num. Points : [38,7]
Matrix Size : scalar
Type : Real"
14.000,1.200E10,-40.363
14.000,1.440E10,-92.122
15.000,0.000,-216.266
15.000,2.400E9,30.650
15.000,4.800E9,-4.063
15.000,7.200E9,1.549
15.000,9.600E9,-14.651
15.000,1.200E10,-36.154
15.000,1.440E10,-90.684
16.000,0.000,-216.266
16.000,2.400E9,31.559
16.000,4.800E9,-2.982
16.000,7.200E9,2.818
16.000,9.600E9,-15.803
16.000,1.200E10,-32.717
16.000,1.440E10,-89.520
17.000,0.000,-216.266
17.000,2.400E9,32.467
17.000,4.800E9,-2.028
17.000,7.200E9,4.048
17.000,9.600E9,-17.245
17.000,1.200E10,-29.828
17.000,1.440E10,-88.426
18.000,0.000,-216.267
18.000,2.400E9,33.373
18.000,4.800E9,-1.185
18.000,7.200E9,5.263
18.000,9.600E9,-18.508
18.000,1.200E10,-27.357
18.000,1.440E10,-87.312
19.000,0.000,-216.267
19.000,2.400E9,34.274
19.000,4.800E9,-0.443
19.000,7.200E9,6.477
19.000,9.600E9,-18.633
19.000,1.200E10,-25.185
19.000,1.440E10,-86.098
20.000,0.000,-216.267
20.000,2.400E9,35.169
20.000,4.800E9,0.206
20.000,7.200E9,7.696
20.000,9.600E9,-17.139
20.000,1.200E10,-23.232
20.000,1.440E10,-84.746
21.000,0.000,-216.267
21.000,2.400E9,36.055
21.000,4.800E9,0.769
21.000,7.200E9,8.919
21.000,9.600E9,-14.787
21.000,1.200E10,-21.447
21.000,1.440E10,-83.281
22.000,0.000,-216.267
22.000,2.400E9,36.932
22.000,4.800E9,1.255
22.000,7.200E9,10.145
22.000,9.600E9,-12.299
22.000,1.200E10,-19.794
22.000,1.440E10,-81.728
23.000,0.000,-216.267
23.000,2.400E9,37.795
23.000,4.800E9,1.676
23.000,7.200E9,11.379
23.000,9.600E9,-9.943
23.000,1.200E10,-18.251
23.000,1.440E10,-80.099
24.000,0.000,-216.268
24.000,2.400E9,38.638
24.000,4.800E9,2.045
24.000,7.200E9,12.640
24.000,9.600E9,-7.855
24.000,1.200E10,-16.807
24.000,1.440E10,-78.373
25.000,0.000,-216.268
25.000,2.400E9,39.427
25.000,4.800E9,2.304
25.000,7.200E9,14.050
25.000,9.600E9,-7.341
25.000,1.200E10,-15.675
25.000,1.440E10,-75.900
26.000,0.000,-216.268
26.000,2.400E9,40.047
26.000,4.800E9,2.521
26.000,7.200E9,15.962
26.000,9.600E9,-11.000
26.000,1.200E10,-15.461
26.000,1.440E10,-71.696
27.000,0.000,-216.268
27.000,2.400E9,40.491
27.000,4.800E9,4.156
27.000,7.200E9,17.850
27.000,9.600E9,-4.020
27.000,1.200E10,-13.911
27.000,1.440E10,-71.699
